series_id,match_id,game_mode,radiant_team_id,radiant_team_name,radiant_team_score,dire_team_id,dire_team_name,dire_team_score,match_length,match_time,match_date,winning_team_id,winning_team_name
2520135,7616185513,captains_mode,8970463,Pizzadog Academy,22,6521153,Korn in my Poop,41,2835,6:00 PM,03/01/2024,6521153,Korn in my Poop
,,,,,,,,,,,,,
2520137,7616190664,captains_mode,9352752,Malibu DILFs,44,9073373,Fear The Hog,32,3062,6:09 PM,03/01/2024,9352752,Malibu DILFs
,,,,,,,,,,,,,
2520148,7616231903,captains_mode,6521153,Korn in my Poop,24,9359693,Foop City,35,2777,7:15 PM,03/01/2024,9359693,Foop City
,,,,,,,,,,,,,
9999994,7616240730,captains_mode,9073373,Fear The Hog,13,9358342,CORN DAWGS,49,1675,9:28 PM,03/01/2024,9358342,CORN DAWGS
,,,,,,,,,,,,,
2520158,7616283571,captains_mode,9352752,Malibu DILFs,16,9358342,CORN DAWGS,53,1979,8:26 PM,03/01/2024,9358342,CORN DAWGS
,,,,,,,,,,,,,
2520157,7616284261,captains_mode,8970463,Pizzadog Academy,21,9359693,Foop City,45,2605,8:24 PM,03/01/2024,9359693,Foop City
,,,,,,,,,,,,,
2520166,7616356796,captains_mode,9358342,CORN DAWGS,47,9359693,Foop City,27,2599,9:53 PM,03/01/2024,9358342,CORN DAWGS
2520166,7616421657,captains_mode,9358342,CORN DAWGS,34,9359693,Foop City,40,2875,11:02 PM,03/01/2024,9359693,Foop City
2520166,7616499517,captains_mode,9358342,CORN DAWGS,23,9359693,Foop City,47,2990,12:15 AM,03/02/2024,9359693,Foop City
