match_id,team_id,team_name,player_id,player_name,hero,kills,deaths,assists,net_worth,last_hits,denies,gpm,xpm
7616185513,8970463,Pizzadog Academy,31649623,Moumpt,Ancient Apparition,2,9,11,8101,34,3,215,402
7616185513,8970463,Pizzadog Academy,104775701,Sparkling Animated Storytelling,Centaur Warrunner,2,11,15,15671,225,29,417,456
7616185513,8970463,Pizzadog Academy,365711597,Ripped The Pen 1 Last Time,Outworld Destroyer,12,8,7,20543,291,9,524,682
7616185513,8970463,Pizzadog Academy,1036468280,The Real Is Back,Lifestealer,5,5,11,20551,337,6,508,648
7616185513,8970463,Pizzadog Academy,74713349,Vriggchan,Jakiro,1,8,15,10624,72,3,285,494
7616185513,6521153,Korn in my Poop,1724857,Kenny Lavender,Viper,8,7,24,24384,197,19,508,673
7616185513,6521153,Korn in my Poop,315105501,Chinese Takeout,Witch Doctor,10,4,23,14519,23,0,331,545
7616185513,6521153,Korn in my Poop,176598507,Stainless,Drow Ranger,11,1,22,30660,350,5,661,786
7616185513,6521153,Korn in my Poop,56950757,Life_Insurance,Lion,7,4,15,14848,38,1,345,510
7616185513,6521153,Korn in my Poop,27284686,Bone Nut,Dragon Knight,3,6,17,21833,220,11,469,653
,,,,,,,,,,,,,
7616190664,9352752,Malibu DILFs,12299062,GoblinDeez,Lich,3,6,20,15741,104,6,341,526
7616190664,9352752,Malibu DILFs,45349321,Skwisgaar Skwigelf,Timbersaw,13,5,26,29724,286,4,600,886
7616190664,9352752,Malibu DILFs,32889544,Cream Abdul Jabroni,Juggernaut,7,7,16,30013,400,14,629,778
7616190664,9352752,Malibu DILFs,51245777,Lars,Ancient Apparition,8,6,26,16574,61,2,373,644
7616190664,9352752,Malibu DILFs,16865447,Nathan Explosion,Axe,13,8,20,22377,177,3,471,707
7616190664,9073373,Fear The Hog,32846586,Dr Clayton,Weaver,11,7,14,22835,331,11,549,692
7616190664,9073373,Fear The Hog,208895278,businessCasual,Hoodwink,3,6,12,20927,310,3,477,603
7616190664,9073373,Fear The Hog,192347173,Ms Anthrope,Jakiro,3,9,22,12100,33,4,295,507
7616190664,9073373,Fear The Hog,71794697,Z.T. Pastamancer,Centaur Warrunner,7,8,11,20319,275,20,461,579
7616190664,9073373,Fear The Hog,121916760,Kiragos,Vengeful Spirit,6,14,15,16616,108,3,328,655
,,,,,,,,,,,,,
7616231903,6521153,Korn in my Poop,315105501,Chinese Takeout,Crystal Maiden,4,3,13,9593,30,2,285,411
7616231903,6521153,Korn in my Poop,1724857,Kenny Lavender,Death Prophet,4,9,12,16932,233,6,436,565
7616231903,6521153,Korn in my Poop,56950757,Life_Insurance,Nature's Prophet,7,7,6,19135,292,3,493,483
7616231903,6521153,Korn in my Poop,176598507,Stainless,Centaur Warrunner,5,9,15,17682,256,7,446,613
7616231903,6521153,Korn in my Poop,27284686,Bone Nut,Phantom Assassin,4,7,8,17728,316,10,472,700
7616231903,9359693,Foop City,83605406,Drink Water and Stretch,Tidehunter,2,6,22,18687,183,17,417,613
7616231903,9359693,Foop City,122928435,SHADOW MOSES,Viper,13,3,12,25296,237,14,574,775
7616231903,9359693,Foop City,83729704,Sir Snick of the Wheel,Grimstroke,5,5,19,14725,39,4,318,445
7616231903,9359693,Foop City,103117334,Shaquille Oatmeal,Lion,3,8,15,12696,68,6,334,476
7616231903,9359693,Foop City,108977424,Sneetch,Phantom Lancer,12,2,10,38502,525,15,820,1006
,,,,,,,,,,,,,
7616240730,9073373,Fear The Hog,32846586,Dr Clayton,Bloodseeker,5,8,4,9566,130,7,391,385
7616240730,9073373,Fear The Hog,208895278,businessCasual,Dawnbreaker,2,5,9,9856,135,7,354,403
7616240730,9073373,Fear The Hog,71794697,Z.T. Pastamancer,Pudge,2,10,9,7036,80,5,270,288
7616240730,9073373,Fear The Hog,192347173,Ms Anthrope,Witch Doctor,3,15,5,4759,23,0,241,235
7616240730,9073373,Fear The Hog,121916760,Kiragos,Grimstroke,0,11,5,4399,22,1,162,208
7616240730,9358342,CORN DAWGS,57751419,RAMPAGE,Night Stalker,11,4,9,13719,123,12,518,445
7616240730,9358342,CORN DAWGS,83172949,Cloud Kicker,Zeus,7,0,27,14488,119,12,524,675
7616240730,9358342,CORN DAWGS,83741745,7,Vengeful Spirit,7,6,27,9687,28,3,383,528
7616240730,9358342,CORN DAWGS,12096575,Bojangles,Wraith King,16,0,9,22131,245,12,777,777
7616240730,9358342,CORN DAWGS,52899534,Roctopus,Jakiro,8,3,24,12351,42,0,427,606
,,,,,,,,,,,,,
7616283571,9352752,Malibu DILFs,45349321,Skwisgaar Skwigelf,Phantom Assassin,3,12,7,8078,93,1,301,316
7616283571,9352752,Malibu DILFs,12299062,GoblinDeez,Lich,2,12,7,7561,48,2,248,281
7616283571,9352752,Malibu DILFs,51245777,Lars,Warlock,3,9,7,7714,66,0,297,311
7616283571,9352752,Malibu DILFs,16865447,Nathan Explosion,Axe,5,11,7,11296,110,5,402,530
7616283571,9352752,Malibu DILFs,32889544,Cream Abdul Jabroni,Death Prophet,3,10,7,9767,108,4,334,422
7616283571,9358342,CORN DAWGS,12096575,Bojangles,Drow Ranger,16,1,10,22784,282,23,725,785
7616283571,9358342,CORN DAWGS,57751419,RAMPAGE,Centaur Warrunner,10,4,38,17420,151,9,558,679
7616283571,9358342,CORN DAWGS,52899534,Roctopus,Jakiro,9,3,37,11456,30,6,386,553
7616283571,9358342,CORN DAWGS,83172949,Cloud Kicker,Dragon Knight,9,2,22,19032,199,13,584,699
7616283571,9358342,CORN DAWGS,83741745,7,Lion,8,6,27,10611,20,0,359,562
,,,,,,,,,,,,,
7616284261,8970463,Pizzadog Academy,104775701,Sparkling Animated Storytelling,Enigma,5,11,9,17787,241,22,462,424
7616284261,8970463,Pizzadog Academy,365711597,Ripped The Pen 1 Last Time,Leshrac,4,8,9,16859,291,2,479,543
7616284261,8970463,Pizzadog Academy,1036468280,The Real Is Back,Wraith King,7,8,9,23588,379,4,625,745
7616284261,8970463,Pizzadog Academy,31649623,Moumpt,Abaddon,2,7,7,6786,23,5,211,368
7616284261,8970463,Pizzadog Academy,74713349,Vriggchan,Crystal Maiden,2,11,11,10627,30,2,261,429
7616284261,9359693,Foop City,83605406,Drink Water and Stretch,Dragon Knight,6,4,20,27506,425,21,670,813
