team_id,team_name,team_tag,team_captain_id,team_captain,team_coach_id,team_coach_name
9824963,Team Mavi,Mavi,237313649,Mavi,null,null
,,,,,,
9432594,Isiah From The News,Z.T. Pastamancer,71794697,Z.T. Pastamancer,null,null
,,,,,,
9658549,Nebraska Cornhuskers,businessCasual,208895278,businessCasual,null,null
,,,,,,
null,Elliott Jewelers,Bojangles,12096575,Bojangles,null,null
,,,,,,
null,Team Pr1de,Pr1de,42336030,Pr1de,null,null
,,,,,,
null,Tiny Corn Energy,.4leks...,20413194,.4leks...,null,null
,,,,,,
null,Eat Booty O's,Vriggchan,74713349,Vriggchan,null,null
,,,,,,
9073373,Fear The Hog,Dr Clayton,32846586,Dr Clayton,null,null
